127.0.0.1 - - [12/Jan/2024:09:40:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:33:28 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:33:45 +0900] "GET /jspweb_08/empreg.jsp?empid=4&name=kim&email=kim%40human.kr&contact=555-1111 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:35:14 +0900] "GET /jspweb_08/empreg.jsp?empid=4&name=kim&email=kim%40human.kr&contact=555-1111 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:35:17 +0900] "GET /jspweb_08/empreg.jsp?empid=4&name=kim&email=kim%40human.kr&contact=555-1111 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:36:04 +0900] "GET /jspweb_08/empreg.jsp?empid=4&name=kim&email=kim%40human.kr&contact=555-1111 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:36:56 +0900] "GET /jspweb_08/empreg.jsp?empid=4&name=kim&email=kim%40human.kr&contact=555-1111 HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:36:59 +0900] "GET /jspweb_08/empreg.jsp?empid=4&name=kim&email=kim%40human.kr&contact=555-1111 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:37:01 +0900] "GET /jspweb_08/empreg.jsp?empid=4&name=kim&email=kim%40human.kr&contact=555-1111 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:38:46 +0900] "GET /jspweb_08/empreg.jsp?empid=4&name=kim&email=kim%40human.kr&contact=555-1111 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [12/Jan/2024:11:43:57 +0900] "GET /jspweb_08/calc_DEPART.jsp HTTP/1.1" 500 2649
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:06:19 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:06:19 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:06:37 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:09:24 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:10:51 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:10:52 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:11:04 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:12:52 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:16:17 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:18:06 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:18:06 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:18:06 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:18:51 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:32:06 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:32:06 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:32:12 +0900] "GET /jspweb_08/depage.jsp?departId=40&departName=d&location=af&departnumber=14145 HTTP/1.1" 500 2582
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:33:02 +0900] "GET /jspweb_08/depage.jsp?departId=40&departName=d&location=af&departnumber=14145 HTTP/1.1" 500 2582
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:33:04 +0900] "GET /jspweb_08/depage.jsp?departId=40&departName=d&location=af&departnumber=14145 HTTP/1.1" 500 2582
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:34:08 +0900] "GET /jspweb_08/depage.jsp?departId=40&departName=d&location=af&departnumber=14145 HTTP/1.1" 500 2582
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:34:10 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:34:16 +0900] "GET /jspweb_08/depage.jsp?departId=40&departName=d&location=af&departnumber=14145 HTTP/1.1" 500 2582
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:35:41 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:35:47 +0900] "GET /jspweb_08/depage.jsp?departId=40&departName=d&location=af&departnumber=14145 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:38:50 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:38:53 +0900] "GET /jspweb_08/departform HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:38:55 +0900] "GET /jspweb_08/empform HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:39:13 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:39:14 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:39:15 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:39:17 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:40:31 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:41:46 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:41:53 +0900] "GET /jspweb_08/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:41:54 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:41:55 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:42:09 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:42:15 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:42:19 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:12:42:56 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:04:45 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:04:45 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:05:53 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:05:56 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:05:57 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:16:44 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:17:07 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:17:10 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:17:12 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:17:13 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:17:20 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:18:11 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:18:30 +0900] "GET /jspweb_08/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:18:33 +0900] "GET /jspweb_08/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:19:09 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:19:12 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:19:14 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:26:39 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:26:39 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:54:55 +0900] "GET /jspweb_08/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:54:55 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:54:58 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:55:11 +0900] "GET /jspweb_08/empreg.jsp?empid=5&name=kim&email=kim%40human.kr&contact=555-1112 HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [12/Jan/2024:13:55:12 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [12/Jan/2024:14:03:25 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [12/Jan/2024:14:03:27 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:14:09:47 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [12/Jan/2024:14:11:20 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [12/Jan/2024:14:26:24 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [12/Jan/2024:14:48:09 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [12/Jan/2024:14:48:40 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:07:16 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:07:18 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:08:48 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:15:45 +0900] "GET /jspweb_08/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:15:45 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:15:49 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:16:02 +0900] "GET /jspweb_08/empreg.jsp?empid=6&name=aaa&email=kim%40human.kr&contact=555-1113 HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:16:03 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:17:48 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:18:26 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 7130
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:18:46 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:28:04 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:28:06 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:29:29 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4317
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:30:31 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:30:43 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:34:51 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:34:52 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:35:08 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:35:10 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:35:12 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:35:13 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:35:20 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:36:09 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:36:10 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:49:50 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:49:50 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:15:49:51 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:03:18 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:06:55 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:07:11 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:07:14 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:07:15 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:07:16 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:07:18 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:07:20 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:07:21 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:15:09 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:15:21 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:22:15 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:23:37 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:23:37 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:24:15 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:24:16 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:24:50 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:25:01 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:25:11 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:29:03 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:29:04 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:54:55 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:54:56 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:54:57 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:54:58 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:55:00 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:09 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:11 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:12 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:13 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:15 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:31 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:46 +0900] "GET /jspweb_08/departreg.jsp?departId=50&departName=%ED%9A%8C%EA%B3%84&location=%EC%84%9C%EC%9A%B8&departnumber=555-4321 HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:47 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:55 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:57 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:16:57:59 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:00:14 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:00:16 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:00:17 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:00:18 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:00:22 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:00:25 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:00:34 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:00:34 +0900] "GET /jspweb_08/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
